,Mutation date,ID,Gender,Age,Birthdate,Life expectancy,Marital status,Couple nr,Marriage duration,Marriage end date,Marriage intention,Marriage age,Wedding date,Employment status,Income,Capital,Children,NrChildren,Birth age,Birthing date,Alive,Event
69,2011-01-01,69,Female,6,2005-01-02,8e-05,Single,0,,,Yes,25.0,2030-04-26,Child,0,0,No,0,22.0,2027-01-01,1,Created
70,2011-01-01,70,Female,5,2006-11-04,4e-05,Single,0,,,No,,,Child,0,0,Yes,0,27.0,2033-11-07,1,Created
71,2011-01-01,71,Male,64,1947-02-13,0.01097,Married,16,,2059-03-12,No,,,Entrepreneur with personel,3858,216157,Yes,1,,NA,1,Created
72,2011-01-01,72,Female,2,2009-11-07,0.00015,Single,0,,,No,,,Child,0,0,No,0,27.0,2036-01-15,1,Created
73,2011-01-01,73,Male,3,2008-11-28,0.0002,Single,0,,,No,,,Child,0,0,Yes,0,,NA,1,Created
74,2011-01-01,74,Female,11,2000-05-10,7e-05,Single,0,,,No,,,Child,0,0,Yes,0,41.0,2041-08-24,1,Created
75,2011-01-01,75,Female,63,1948-07-07,0.00672,Married,13,,2019-04-28,Yes,,,Permanent contract,1653,197356,Yes,1,,NA,1,Created
76,2011-01-01,76,Female,51,1960-12-17,0.0023899999999999998,Married,14,,2026-05-26,No,,,Flexible contract,5020,-41452,Yes,3,,NA,1,Created
77,2011-01-01,77,Female,49,1962-02-03,0.00193,Married,15,,2038-04-20,Yes,,,Permanent contract,43476,868,Yes,1,,NA,1,Created
78,2011-01-01,78,Female,33,1978-12-19,0.00035,Single,0,,,No,,,Permanent contract,22447,-35149,No,0,35.0,2013-02-02,1,Created
79,2011-01-01,79,Female,58,1953-05-28,0.00448,Married,16,,2059-03-12,Yes,,,Entrepreneur without personnel,23267,144550,Yes,1,,NA,1,Created
80,2011-01-01,80,Female,58,1953-07-13,0.00448,Married,17,,2052-08-05,No,,,Permanent contract,53338,115145,Yes,3,,NA,1,Created
81,2011-01-01,81,Female,57,1954-06-05,0.00387,Married,18,,2064-11-10,No,,,Flexible contract,15038,146008,No,2,,NA,1,Created
82,2011-01-01,82,Female,36,1975-01-03,0.00049,Single,0,,,No,,,Permanent contract,19654,18844,Yes,0,,NA,1,Created
83,2011-01-01,83,Male,3,2008-09-22,0.0002,Single,0,,,No,,,Child,0,0,Yes,0,,NA,1,Created
84,2011-01-01,84,Male,3,2008-06-16,0.0002,Single,0,,,No,,,Child,0,0,Yes,0,,NA,1,Created
85,2011-01-01,85,Female,57,1954-04-07,0.00387,Divorced,0,,,No,,,Permanent contract,14257,433169,No,0,,NA,1,Created
86,2011-01-01,86,Male,38,1973-02-07,0.0009599999999999999,Married,17,,2052-08-05,Yes,,,Unemployed,26371,57524,Yes,3,,NA,1,Created
87,2011-01-01,87,Male,9,2002-03-08,0.00014,Single,0,,,No,,,Child,0,0,Yes,0,,NA,1,Created
88,2011-01-01,88,Male,18,1993-03-27,0.00032,Single,0,,,No,,,Permanent contract,45647,9296,No,0,,NA,1,Created
89,2011-01-01,89,Male,30,1981-04-04,0.00055,Single,0,,,No,,,Permanent contract,4071,37020,No,0,,NA,1,Created
90,2011-01-01,90,Male,19,1992-05-03,0.00033,Single,0,,,Yes,30.0,2022-03-20,Entrepreneur without personnel,12256,29425,Yes,0,,NA,1,Created
91,2011-01-01,91,Male,14,1997-02-22,0.00014,Single,0,,,Yes,21.0,2018-07-02,Child,0,0,No,0,,NA,1,Created
92,2011-01-01,92,Female,13,1998-05-15,0.00011999999999999999,Single,0,,,Yes,26.0,2024-09-12,Child,0,0,Yes,0,28.0,2026-12-19,1,Created
93,2011-01-01,93,Male,61,1950-08-13,0.00747,Married,18,,2064-11-10,Yes,,,Flexible contract,45382,231,No,2,,NA,1,Created
94,2011-01-01,94,Female,102,1909-02-15,1.0,Widowed,0,,,Yes,,,Retired,37215,-2778,No,0,,NA,1,Created
95,2011-01-01,95,Female,10,2001-11-18,0.0001,Single,0,,,No,,,Child,0,0,No,0,25.0,2026-05-24,1,Created
96,2011-01-01,96,Female,31,1980-08-14,0.00029,Married,19,,2054-01-05,Yes,,,Flexible contract,19893,4178,Yes,1,33.0,2013-05-09,1,Created
97,2011-01-01,97,Male,33,1978-03-08,0.00047999999999999996,Single,0,,,No,,,Permanent contract,4792,382437,No,0,,NA,1,Created
98,2011-01-01,98,Male,64,1947-07-05,0.01097,Divorced,0,,,Yes,,,Permanent contract,24973,-34152,Yes,0,,NA,1,Created
99,2011-01-01,99,Male,60,1951-06-08,0.006840000000000001,Married,19,,2054-01-05,Yes,,,Family business,32370,46396,Yes,1,,NA,1,Created
100,2011-01-01,100,Female,38,1973-10-14,0.00063,Married,20,,2036-02-20,No,,,Permanent contract,17384,902,No,2,,NA,1,Created
101,2011-01-01,101,Female,42,1969-01-01,0.001,Single,0,,,No,,,Permanent contract,3665,28029,No,0,,NA,1,Created
102,2011-01-01,102,Male,6,2005-03-28,5.9999999999999995e-05,Single,0,,,No,,,Child,0,0,No,0,,NA,1,Created
103,2011-01-01,103,Female,40,1971-05-17,0.0006900000000000001,Married,21,,2039-03-09,Yes,,,Permanent contract,32568,-47818,No,2,,NA,1,Created
104,2011-01-01,104,Female,4,2007-05-31,5.9999999999999995e-05,Single,0,,,No,,,Child,0,0,Yes,0,36.0,2043-04-01,1,Created
105,2011-01-01,105,Female,25,1986-05-15,0.00022999999999999998,Single,0,,,No,,,Permanent contract,3012,115384,Yes,0,31.0,2017-08-31,1,Created
106,2011-01-01,106,Female,9,2002-02-13,2.9999999999999997e-05,Single,0,,,No,,,Child,0,0,Yes,0,26.0,2028-10-18,1,Created
107,2011-01-01,107,Female,93,1918-08-27,0.18566,Widowed,0,,,No,,,Retired,12495,49370,Yes,0,,NA,1,Created
108,2011-01-01,108,Female,41,1970-07-22,0.0007700000000000001,Single,0,,,Yes,30.0,,Entrepreneur without personnel,10649,4127,No,0,,NA,1,Created
109,2011-01-01,109,Female,10,2001-10-28,0.0001,Single,0,,,Yes,36.0,2037-12-01,Child,0,0,Yes,0,27.0,2028-04-11,1,Created
110,2011-01-01,110,Male,32,1979-03-26,0.00059,Married,20,,2036-02-20,No,,,Permanent contract,34604,81611,No,2,,NA,1,Created
111,2011-01-01,111,Female,32,1979-11-08,0.00041,Married,22,,2037-01-23,Yes,,,Flexible contract,19161,274166,Yes,3,,NA,1,Created
112,2011-01-01,112,Male,98,1913-04-07,0.33792,Widowed,0,,,Yes,,,Retired,27073,35233,No,0,,NA,1,Created
113,2011-01-01,113,Female,5,2006-07-19,4e-05,Single,0,,,No,,,Child,0,0,No,0,27.0,2033-02-18,1,Created
114,2011-01-01,114,Female,48,1963-11-14,0.0018800000000000002,Married,23,,2060-10-27,No,,,Permanent contract,16771,437602,No,1,,NA,1,Created
115,2011-01-01,115,Male,3,2008-06-04,0.0002,Single,0,,,No,,,Child,0,0,No,0,,NA,1,Created
116,2011-01-01,116,Female,39,1972-07-12,0.00074,Single,0,,,Yes,40.0,2012-12-06,Permanent contract,626,-4550,No,0,,NA,1,Created
117,2011-01-01,117,Female,56,1955-09-02,0.0041,Married,24,,2055-09-27,No,,,Permanent contract,7842,44730,Yes,2,,NA,1,Created
118,2011-01-01,118,Female,42,1969-01-13,0.001,Married,25,,2028-05-27,No,,,Permanent contract,165678,109558,Yes,2,,NA,1,Created
119,2011-01-01,119,Female,12,1999-10-01,5e-05,Single,0,,,No,,,Child,0,0,Yes,0,33.0,2032-03-12,1,Created
120,2011-01-01,120,Female,5,2006-09-18,4e-05,Single,0,,,Yes,40.0,2046-10-30,Child,0,0,Yes,0,30.0,2036-06-22,1,Created
121,2011-01-01,121,Male,16,1995-07-16,0.00029,Single,0,,,No,,,Child,0,0,Yes,0,,NA,1,Created
122,2011-01-01,122,Female,90,1921-02-04,0.13302999999999998,Single,0,,,No,,,Retired,20358,83690,No,0,,NA,1,Created
123,2011-01-01,123,Female,18,1993-01-08,0.00023999999999999998,Single,0,,,No,,,Permanent contract,4287,663099,Yes,0,32.0,2025-08-30,1,Created
124,2011-01-01,124,Female,3,2008-09-11,0.00013000000000000002,Single,0,,,No,,,Child,0,0,Yes,0,31.0,2039-06-23,1,Created
125,2011-01-01,125,Female,13,1998-04-06,0.00011999999999999999,Single,0,,,Yes,22.0,2020-08-20,Child,0,0,No,0,38.0,2036-05-04,1,Created
126,2011-01-01,126,Female,5,2006-11-08,4e-05,Single,0,,,Yes,33.0,2039-04-30,Child,0,0,Yes,0,31.0,2037-10-09,1,Created
127,2011-01-01,127,Male,53,1958-11-30,0.0033299999999999996,Divorced,0,,,No,,,Permanent contract,38202,161771,No,0,,NA,1,Created
128,2011-01-01,128,Male,75,1936-01-12,0.033710000000000004,Married,21,,2039-03-09,No,,,Retired,5126,-22251,No,2,,NA,1,Created
129,2011-01-01,129,Female,46,1965-12-27,0.00134,Single,0,,,No,,,Permanent contract,24487,949002,Yes,0,,NA,1,Created
130,2011-01-01,130,Female,48,1963-02-12,0.0018800000000000002,Married,26,,2029-08-06,Yes,,,Permanent contract,40054,102535,No,1,,NA,1,Created
131,2011-01-01,131,Male,4,2007-12-30,0.00011,Single,0,,,Yes,28.0,2035-12-28,Child,0,0,No,0,,NA,1,Created
132,2011-01-01,132,Male,29,1982-08-16,0.0005200000000000001,Single,0,,,No,,,Permanent contract,19563,279946,Yes,0,,NA,1,Created
133,2011-01-01,133,Male,23,1988-04-24,0.00039,Single,0,,,No,,,Permanent contract,10818,315561,No,0,,NA,1,Created
134,2011-01-01,134,Male,20,1991-01-03,0.00045,Single,0,,,No,,,Permanent contract,42243,9421,Yes,0,,NA,1,Created
135,2011-01-01,135,Male,62,1949-07-22,0.008409999999999999,Married,22,,2037-01-23,No,,,Entrepreneur without personnel,1358,169724,Yes,3,,NA,1,Created
136,2011-01-01,136,Female,47,1964-11-18,0.00168,Single,0,,,No,,,Permanent contract,63979,147439,No,0,,NA,1,Created
137,2011-01-01,137,Male,61,1950-11-13,0.00747,Married,23,,2060-10-27,Yes,,,Unemployed,39520,-15575,No,1,,NA,1,Created
138,2011-01-01,138,Male,45,1966-05-20,0.0014199999999999998,Married,24,,2055-09-27,No,,,Flexible contract,13346,-13724,Yes,2,,NA,1,Created
139,2011-01-01,139,Male,2,2009-01-14,0.00021,Single,0,,,No,,,Child,0,0,Yes,0,,NA,1,Created
140,2011-01-01,140,Male,34,1977-06-12,0.00067,Single,0,,,No,,,Permanent contract,9937,2398,Yes,0,,NA,1,Created
141,2011-01-01,141,Male,77,1934-07-22,0.0418,Married,25,,2028-05-27,No,,,Retired,2595,384621,Yes,2,,NA,1,Created
142,2011-01-01,142,Female,23,1988-09-30,0.0001,Married,27,,2026-08-29,No,,,Permanent contract,10199,437733,Yes,2,33.0,2021-01-17,1,Created
143,2011-01-01,143,Female,43,1968-11-17,0.0009699999999999999,Married,28,,2039-03-13,No,,,Entrepreneur without personnel,68269,164651,No,1,,NA,1,Created
144,2011-01-01,144,Female,69,1942-11-21,0.0108,Married,29,,2029-10-29,Yes,,,Retired,72521,-20782,No,3,,NA,1,Created
145,2011-01-01,145,Female,6,2005-03-07,8e-05,Single,0,,,Yes,20.0,2025-01-15,Child,0,0,No,0,28.0,2033-08-28,1,Created
146,2011-01-01,146,Female,48,1963-10-19,0.0018800000000000002,Married,30,,2034-01-13,Yes,,,Flexible contract,3508,28345,No,3,,NA,1,Created
147,2011-01-01,147,Female,61,1950-11-10,0.00562,Married,31,,2040-12-06,Yes,,,Permanent contract,38912,98972,No,2,,NA,1,Created
148,2011-01-01,148,Female,34,1977-06-26,0.00037,Single,0,,,No,,,Flexible contract,37883,9213,No,0,,NA,1,Created
149,2011-01-01,149,Female,2,2009-12-24,0.00015,Single,0,,,No,,,Child,0,0,Yes,0,29.0,2038-02-12,1,Created
150,2011-01-01,150,Female,37,1974-07-12,0.00057,Married,32,,2050-10-06,Yes,,,Unemployed,63795,-6909,No,2,,NA,1,Created
151,2011-01-01,151,Female,37,1974-12-17,0.00057,Married,33,,2030-01-26,No,,,Entrepreneur without personnel,8737,-20831,Yes,1,,NA,1,Created
152,2011-01-01,152,Male,40,1971-11-15,0.0009400000000000001,Single,0,,,No,,,Permanent contract,33507,72182,Yes,0,,NA,1,Created
153,2011-01-01,153,Female,1,2010-03-01,0.00033999999999999997,Single,0,,,No,,,Child,0,0,No,0,31.0,2041-01-24,1,Created
154,2011-01-01,154,Female,40,1971-11-01,0.0006900000000000001,Single,0,,,No,,,Permanent contract,12648,485711,No,0,,NA,1,Created
155,2011-01-01,155,Male,24,1987-06-11,0.00047999999999999996,Single,0,,,Yes,37.0,2024-03-08,Entrepreneur with personel,77731,149993,Yes,0,,NA,1,Created
156,2011-01-01,156,Male,48,1963-05-28,0.0021100000000000003,Married,26,,2029-08-06,Yes,,,Permanent contract,26739,782,No,1,,NA,1,Created
157,2011-01-01,157,Male,21,1990-12-05,0.00045,Single,0,,,Yes,29.0,2019-07-06,Permanent contract,50850,-3020,Yes,0,,NA,1,Created
158,2011-01-01,158,Male,53,1958-02-16,0.0033299999999999996,Married,27,,2026-08-29,Yes,,,Flexible contract,18022,27408,Yes,2,,NA,1,Created
159,2011-01-01,159,Female,6,2005-05-17,8e-05,Single,0,,,Yes,31.0,2036-11-21,Child,0,0,Yes,0,32.0,2037-07-02,1,Created
160,2011-01-01,160,Female,21,1990-07-05,0.00016,Single,0,,,No,,,Permanent contract,34569,142072,No,0,41.0,2031-07-02,1,Created
161,2011-01-01,161,Male,10,2001-01-15,0.00011999999999999999,Single,0,,,No,,,Child,0,0,No,0,,NA,1,Created
162,2011-01-01,162,Male,26,1985-06-05,1.0,Single,0,,,No,,,Entrepreneur without personnel,12373,1420,Yes,0,,NA,1,Created
163,2011-01-01,163,Male,58,1953-04-28,0.00603,Married,28,,2039-03-13,Yes,,,Permanent contract,35768,-4580,No,1,,NA,1,Created
164,2011-01-01,164,Male,60,1951-08-25,0.006840000000000001,Married,29,,2029-10-29,No,,,Flexible contract,59957,415775,No,3,,NA,1,Created
165,2011-01-01,165,Female,79,1932-06-02,0.03112,Divorced,0,,,No,,,Retired,7027,303724,No,0,,NA,1,Created
166,2011-01-01,166,Male,74,1937-09-04,0.0295,Married,30,,2034-01-13,No,,,Retired,35269,-13514,No,3,,NA,1,Created
167,2011-01-01,167,Female,3,2008-06-21,0.00013000000000000002,Single,0,,,Yes,35.0,2043-09-25,Child,0,0,Yes,0,24.0,2032-07-11,1,Created
168,2011-01-01,168,Male,6,2005-04-19,5.9999999999999995e-05,Single,0,,,No,,,Child,0,0,Yes,0,,NA,1,Created
169,2011-01-01,169,Female,64,1947-09-14,0.00713,Married,34,,2019-09-17,No,,,Flexible contract,34182,1922,No,1,,NA,1,Created
170,2011-01-01,170,Male,11,2000-12-03,9e-05,Single,0,,,No,,,Child,0,0,Yes,0,,NA,1,Created
171,2011-01-01,171,Female,49,1962-09-13,0.00193,Single,0,,,Yes,50.0,2012-05-23,Permanent contract,24087,25481,No,0,,NA,1,Created
172,2011-01-01,172,Female,65,1946-01-12,0.007559999999999999,Married,35,,2015-02-04,Yes,,,Permanent contract,35026,34600,Yes,2,,NA,1,Created
173,2011-01-01,173,Male,37,1974-03-15,0.00082,Married,31,,2040-12-06,Yes,,,Permanent contract,16716,6491,No,2,,NA,1,Created
174,2011-01-01,174,Female,43,1968-10-21,0.0009699999999999999,Married,36,,2066-03-11,No,,,Permanent contract,15767,208268,Yes,2,,NA,1,Created
175,2011-01-01,175,Female,16,1995-06-07,8e-05,Single,0,,,Yes,44.0,2039-03-04,Child,0,0,No,0,34.0,2029-10-14,1,Created
176,2011-01-01,176,Female,41,1970-05-23,0.0007700000000000001,Married,37,,2016-03-30,Yes,,,Unemployed,39969,-32527,Yes,3,,NA,1,Created
177,2011-01-01,177,Female,61,1950-06-26,0.00562,Married,38,,2022-02-10,Yes,,,Permanent contract,30433,60878,Yes,2,,NA,1,Created
178,2011-01-01,178,Female,18,1993-10-11,0.00023999999999999998,Single,0,,,Yes,51.0,2044-05-02,Flexible contract,31060,170960,Yes,0,32.0,2025-09-13,1,Created
179,2011-01-01,179,Female,3,2008-04-25,0.00013000000000000002,Single,0,,,Yes,26.0,2034-09-09,Child,0,0,No,0,25.0,2033-04-08,1,Created
180,2011-01-01,180,Male,104,1907-10-01,1.0,Widowed,0,,,No,,,Retired,21107,734,No,0,,NA,1,Created
181,2011-01-01,181,Male,82,1929-01-02,0.07771,Married,32,,2050-10-06,Yes,,,Retired,12204,-265,No,2,,NA,1,Created
182,2011-01-01,182,Female,25,1986-01-08,0.00022999999999999998,Single,0,,,Yes,30.0,2016-08-25,Permanent contract,56761,697842,No,0,25.0,2011-06-08,1,Created
183,2011-01-01,183,Female,66,1945-01-27,0.009040000000000001,Married,39,,2045-03-03,Yes,,,Family business,7097,-17999,No,2,,NA,1,Created
184,2011-01-01,184,Female,36,1975-12-01,0.00049,Married,40,,2025-11-19,No,,,Permanent contract,85381,35167,Yes,3,,NA,1,Created
185,2011-01-01,185,Male,104,1907-05-14,1.0,Divorced,0,,,Yes,,,Retired,38095,-1765,No,0,,NA,1,Created
186,2011-01-01,186,Male,13,1998-06-06,0.00014,Single,0,,,Yes,26.0,2024-12-26,Child,0,0,Yes,0,,NA,1,Created
187,2011-01-01,187,Male,57,1954-07-22,0.00572,Married,33,,2030-01-26,No,,,Flexible contract,81765,335121,Yes,1,,NA,1,Created
188,2011-01-01,188,Female,52,1959-08-26,0.00268,Married,41,,2051-10-23,No,,,Permanent contract,1647,288462,No,1,,NA,1,Created
189,2011-01-01,189,Male,0,2011-03-26,0.0036200000000000004,Single,0,,,Yes,32.0,2043-08-19,Child,0,0,Yes,0,,NA,1,Created
