,Mutation date,ID,Gender,Age,Birthdate,Life expectancy,Marital status,Couple nr,Marriage duration,Marriage end date,Marriage intention,Marriage age,Wedding date,Employment status,Income,Capital,Children,NrChildren,Birth age,Birthing date,Alive,Event
8,2011-01-01,8,Female,44,1967-09-04,0.00107,Divorced,0,,,Yes,,,Permanent contract,27657.0,22739,Yes,0,,NA,1,Created
9,2011-01-01,9,Female,4,2007-07-03,5.9999999999999995e-05,Single,0,,,No,,,Child,0.0,0,No,0,29.0,2036-12-27,1,Created
10,2011-01-01,10,Male,65,1946-02-25,0.01141,Widowed,0,,,No,,,Permanent contract,26476.0,759414,Yes,0,,NA,1,Created
16958,2011-02-25,10,Male,66,1946-02-25,0.01141,Widowed,0,,,No,,,Retired,18533.199999999997,759414,Yes,0,,NA,1,Life event: Retired
11,2011-01-01,11,Male,45,1966-03-17,0.0014199999999999998,Married,4,,2057-05-31,Yes,,,Permanent contract,65008.0,244567,No,2,,NA,1,Created
12,2011-01-01,12,Male,43,1968-12-10,0.00103,Married,5,,2030-01-21,Yes,,,Flexible contract,2206.0,-34439,Yes,2,,NA,1,Created
13,2011-01-01,13,Female,25,1986-01-01,0.00022999999999999998,Single,0,,,Yes,35.0,2021-05-09,Flexible contract,23541.0,132155,Yes,0,28.0,2014-07-31,1,Created
17160,2011-04-12,13,Female,26,1986-01-01,0.00022999999999999998,Married,3488,39,2050-04-10,Yes,35,2021-05-09,Flexible contract,23541.0,132155,Yes,0,28,2014-07-31,1,Life event: Married
14,2011-01-01,14,Female,32,1979-09-13,0.00041,Divorced,0,,,Yes,,,Permanent contract,38788.0,478693,Yes,0,39.0,2018-02-05,1,Created
15,2011-01-01,15,Female,65,1946-02-20,0.007559999999999999,Divorced,0,,,Yes,,,Entrepreneur with personel,45460.0,253470,Yes,0,,NA,1,Created
16926,2011-02-20,15,Female,66,1946-02-20,0.007559999999999999,Divorced,0,,,Yes,,,Retired,31821.999999999996,253470,Yes,0,,NA,1,Life event: Retired
16,2011-01-01,16,Male,40,1971-12-25,0.0009400000000000001,Single,0,,,Yes,45.0,2016-04-09,Permanent contract,11891.0,378403,Yes,0,,NA,1,Created
16771,2011-01-21,16,Male,40,1971-12-25,0.0009400000000000001,Married,3478,54,2065-06-04,Yes,45,2016-04-09,Permanent contract,11891.0,378403,Yes,0,,NA,1,Created
17,2011-01-01,17,Female,57,1954-04-05,0.00387,Married,2,,2043-02-06,Yes,,,Permanent contract,43181.0,84938,Yes,1,,NA,1,Created
18,2011-01-01,18,Female,32,1979-06-03,0.00041,Single,0,,,Yes,20.0,,Permanent contract,45796.0,421549,No,0,,NA,1,Created
17195,2011-04-17,18,Female,32,1979-06-03,0.00041,Married,3490,60,2071-01-03,Yes,20,,Permanent contract,45796.0,421549,No,0,,NA,1,Life event: Married
19,2011-01-01,19,Male,49,1962-03-19,0.00242,Married,6,,2055-12-24,No,,,Permanent contract,39737.0,-13083,Yes,3,,NA,1,Created
20,2011-01-01,20,Female,62,1949-04-24,0.0057399999999999994,Married,3,,2063-08-04,No,,,Permanent contract,10419.0,51362,Yes,2,,NA,1,Created
21,2011-01-01,21,Male,87,1924-06-17,0.12537,Widowed,0,,,Yes,,,Retired,48239.0,306130,Yes,0,,NA,1,Created
18260,2011-11-29,21,Male,88,1924-06-17,0.12537,Widowed,0,,,Yes,,,Retired,48239.0,306130,Yes,0,,NA,0,Life event: Deceased
22,2011-01-01,22,Male,8,2003-08-01,9e-05,Single,0,,,No,,,Child,0.0,0,Yes,0,,NA,1,Created
23,2011-01-01,23,Female,77,1934-05-27,0.0259,Married,4,,2057-05-31,No,,,Retired,39260.0,1522,No,2,,NA,1,Created
24,2011-01-01,24,Male,9,2002-03-03,0.00014,Single,0,,,No,,,Child,0.0,0,Yes,0,,NA,1,Created
25,2011-01-01,25,Female,36,1975-01-03,0.00049,Married,5,,2030-01-21,Yes,,,Permanent contract,15194.0,171085,Yes,2,,NA,1,Created
26,2011-01-01,26,Female,27,1984-09-28,0.00025,Married,6,,2055-12-24,Yes,,,Unemployed,35562.0,-24454,Yes,3,30.0,2014-10-22,1,Created
27,2011-01-01,27,Female,40,1971-07-24,0.0006900000000000001,Single,0,,,No,,,Permanent contract,35793.0,-18883,Yes,0,,NA,1,Created
17207,2011-04-19,27,Female,40,1971-07-24,0.0006900000000000001,Married,3491,22,2033-12-22,No,,,Permanent contract,35793.0,-18883,Yes,0,,NA,1,Life event: Married
28,2011-01-01,28,Male,41,1970-05-09,0.0008900000000000001,Divorced,0,,,No,,,Permanent contract,5180.0,21066,Yes,0,,NA,1,Created
29,2011-01-01,29,Female,1,2010-01-20,0.00033999999999999997,Single,0,,,Yes,33.0,2043-05-26,Child,0.0,0,Yes,0,37.0,2047-02-22,1,Created
30,2011-01-01,30,Female,21,1990-09-26,0.00016,Single,0,,,Yes,30.0,2020-04-14,Flexible contract,40629.0,1381,No,0,32.0,2022-11-25,1,Created
17307,2011-05-12,30,Female,21,1990-09-26,0.00016,Married,3493,25,2036-12-11,Yes,30,2020-04-14,Flexible contract,40629.0,1381,No,0,32,2022-11-25,1,Life event: Married
31,2011-01-01,31,Male,41,1970-01-21,0.0008900000000000001,Divorced,0,,,Yes,,,Permanent contract,92354.0,18,No,0,,NA,1,Created
32,2011-01-01,32,Male,40,1971-08-08,0.0009400000000000001,Married,7,,2048-03-16,No,,,Permanent contract,9590.0,946,Yes,1,,NA,1,Created
33,2011-01-01,33,Male,41,1970-06-01,0.0008900000000000001,Single,0,,,No,,,Permanent contract,76571.0,5706,No,0,,NA,1,Created
16817,2011-01-29,33,Male,41,1970-06-01,0.0008900000000000001,Married,3479,48,2059-04-19,No,,,Permanent contract,76571.0,5706,No,0,,NA,1,Created
34,2011-01-01,34,Female,57,1954-02-25,0.00387,Married,7,,2048-03-16,Yes,,,Unemployed,29507.0,259067,Yes,1,,NA,1,Created
35,2011-01-01,35,Male,42,1969-01-04,0.00128,Married,8,,2057-05-20,Yes,,,Entrepreneur without personnel,25013.0,5474,Yes,2,,NA,1,Created
36,2011-01-01,36,Male,22,1989-11-23,0.00041,Single,0,,,No,,,Unemployed,52340.0,697,No,0,,NA,1,Created
16842,2011-02-02,36,Male,22,1989-11-23,0.00041,Married,3480,35,2046-09-08,No,,,Unemployed,52340.0,697,No,0,,NA,1,Created
37,2011-01-01,37,Female,56,1955-01-31,0.0041,Divorced,0,,,No,,,Permanent contract,45936.0,2818,No,0,,NA,1,Created
38,2011-01-01,38,Male,38,1973-09-05,0.0009599999999999999,Single,0,,,No,,,Permanent contract,45307.0,1835961,No,0,,NA,1,Created
16898,2011-02-14,38,Male,38,1973-09-05,0.0009599999999999999,Married,3481,17,2028-07-29,No,,,Permanent contract,45307.0,1835961,No,0,,NA,1,Created
39,2011-01-01,39,Female,49,1962-03-15,0.00193,Married,8,,2057-05-20,No,,,Entrepreneur with personel,34117.0,763371,Yes,2,,NA,1,Created
40,2011-01-01,40,Female,20,1991-08-22,0.00018,Single,0,,,No,,,Flexible contract,26889.0,47667,Yes,0,31.0,2022-01-29,1,Created
17332,2011-05-18,40,Female,20,1991-08-22,0.00018,Married,3495,37,2048-02-14,No,,,Flexible contract,26889.0,47667,Yes,0,31,2022-01-29,1,Life event: Married
41,2011-01-01,41,Male,22,1989-06-29,0.00041,Single,0,,,Yes,29.0,2018-08-23,Permanent contract,36614.0,3414032,Yes,0,,NA,1,Created
17013,2011-03-08,41,Male,22,1989-06-29,0.00041,Married,3484,3,2014-06-12,Yes,29,2018-08-23,Permanent contract,36614.0,3414032,Yes,0,,NA,1,Created
42,2011-01-01,42,Female,22,1989-07-23,0.00023999999999999998,Single,0,,,Yes,28.0,2017-05-26,Permanent contract,70650.0,586107,No,0,27.0,2016-12-03,1,Created
17336,2011-05-18,42,Female,22,1989-07-23,0.00023999999999999998,Married,3496,9,2020-06-12,Yes,28,2017-05-26,Permanent contract,70650.0,586107,No,0,27,2016-12-03,1,Life event: Married
43,2011-01-01,43,Female,17,1994-09-15,0.0001,Single,0,,,Yes,32.0,2026-10-15,Child,0.0,0,No,0,27.0,2021-06-25,1,Created
17925,2011-09-15,43,Female,18,1994-09-15,0.0001,Single,0,,,Yes,20,2013-04-21,Entrepreneur with personel,20922.0,389181,No,0,27,2021-06-25,1,Life event: Adulthood
18026,2011-10-06,43,Female,18,1994-09-15,0.0001,Married,3510,29,2040-10-02,Yes,20,2013-04-21,Entrepreneur with personel,20922.0,389181,No,0,27,2021-06-25,1,Life event: Married
44,2011-01-01,44,Female,51,1960-12-11,0.0023899999999999998,Married,9,,2023-07-12,Yes,,,Permanent contract,4963.0,214468,Yes,2,,NA,1,Created
45,2011-01-01,45,Female,39,1972-11-20,0.00074,Married,10,,2050-10-30,Yes,,,Permanent contract,25158.0,4310944,No,2,,NA,1,Created
46,2011-01-01,46,Male,56,1955-03-13,0.0052,Married,9,,2023-07-12,No,,,Entrepreneur with personel,3843.0,-4984,Yes,2,,NA,1,Created
47,2011-01-01,47,Male,29,1982-02-16,0.0005200000000000001,Single,0,,,Yes,33.0,2015-01-12,Permanent contract,40232.0,343,No,0,,NA,1,Created
17085,2011-03-28,47,Male,30,1982-02-16,0.0005200000000000001,Married,3485,38,2049-04-10,Yes,33,2015-01-12,Permanent contract,40232.0,343,No,0,,NA,1,Created
48,2011-01-01,48,Male,46,1965-04-08,0.00172,Married,10,,2050-10-30,Yes,,,Entrepreneur without personnel,53827.0,146461,No,2,,NA,1,Created
49,2011-01-01,49,Male,65,1946-10-13,0.01141,Married,11,,2066-09-23,Yes,,,Entrepreneur without personnel,31506.0,-33721,Yes,2,,NA,1,Created
18051,2011-10-13,49,Male,66,1946-10-13,0.01141,Married,11,,2066-09-23,Yes,,,Retired,22054.199999999997,-33721,Yes,2,,NA,1,Life event: Retired
50,2011-01-01,50,Female,0,2011-08-10,0.0028899999999999998,Single,0,,,Yes,32.0,2043-04-12,Child,0.0,0,Yes,0,35.0,2046-01-16,1,Created
51,2011-01-01,51,Male,35,1976-11-19,0.00055,Married,12,,2028-05-30,Yes,,,Permanent contract,14614.0,-38461,Yes,1,,NA,1,Created
52,2011-01-01,52,Female,20,1991-12-05,0.00018,Single,0,,,No,,,Entrepreneur without personnel,6189.0,1225,No,0,31.0,2022-10-10,1,Created
17394,2011-05-26,52,Female,20,1991-12-05,0.00018,Married,3497,31,2042-01-05,No,,,Entrepreneur without personnel,6189.0,1225,No,0,31,2022-10-10,1,Life event: Married
53,2011-01-01,53,Male,23,1988-10-08,0.00039,Single,0,,,Yes,30.0,2018-09-04,Permanent contract,16708.0,274819,Yes,0,,NA,1,Created
17102,2011-04-01,53,Male,23,1988-10-08,0.00039,Married,3486,3,2014-09-20,Yes,30,2018-09-04,Permanent contract,16708.0,274819,Yes,0,,NA,1,Created
54,2011-01-01,54,Male,22,1989-11-04,0.00041,Single,0,,,No,,,Permanent contract,86363.0,165914,Yes,0,,NA,1,Created
17104,2011-04-01,54,Male,22,1989-11-04,0.00041,Married,3487,5,2016-03-24,No,,,Permanent contract,86363.0,165914,Yes,0,,NA,1,Created
55,2011-01-01,55,Male,3,2008-02-24,0.0002,Single,0,,,Yes,64.0,2072-03-08,Child,0.0,0,Yes,0,,NA,1,Created
56,2011-01-01,56,Female,8,2003-03-18,2.9999999999999997e-05,Single,0,,,No,,,Child,0.0,0,No,0,29.0,2032-03-28,1,Created
57,2011-01-01,57,Female,47,1964-10-03,0.00168,Married,11,,2066-09-23,Yes,,,Permanent contract,1254.0,3589,Yes,2,,NA,1,Created
58,2011-01-01,58,Male,32,1979-11-28,0.00059,Married,13,,2023-09-02,No,,,Permanent contract,48625.0,5821,Yes,2,,NA,1,Created
59,2011-01-01,59,Female,38,1973-03-11,0.00063,Single,0,,,No,,,Permanent contract,93820.0,107943,Yes,0,38.0,2011-12-07,1,Created
17432,2011-06-04,59,Female,39,1973-03-11,0.00063,Married,3498,36,2047-08-07,No,,,Permanent contract,93820.0,107943,Yes,0,38,2011-12-07,1,Life event: Married
18295,2011-12-07,59,Female,39,1973-03-11,0.00063,Married,3498,36,2047-08-07,No,,,Permanent contract,93820.0,107943,Yes,1,38,2011-12-07,1,Life event: Children born
18296,2011-12-07,59,Female,39,1973-03-11,0.00063,Married,3498,36,2047-08-07,No,,,Permanent contract,93820.0,107943,Yes,1,38,2011-12-07,1,Life event: Children born
60,2011-01-01,60,Male,59,1952-05-31,0.00717,Married,14,,2069-02-19,No,,,Unemployed,24290.0,883547,Yes,2,,NA,1,Created
61,2011-01-01,61,Male,54,1957-04-04,0.00404,Married,15,,2033-12-25,Yes,,,Permanent contract,31457.0,9827,Yes,2,,NA,1,Created
62,2011-01-01,62,Male,59,1952-08-29,0.00717,Divorced,0,,,No,,,Permanent contract,77493.0,905157,Yes,0,,NA,1,Created
63,2011-01-01,63,Male,15,1996-12-28,0.00015,Single,0,,,Yes,51.0,2047-02-17,Child,0.0,0,No,0,,NA,1,Created
64,2011-01-01,64,Female,35,1976-11-16,0.00033999999999999997,Married,12,,2028-05-30,Yes,,,Permanent contract,28535.0,-41769,Yes,1,,NA,1,Created
65,2011-01-01,65,Male,71,1940-10-18,0.02034,Married,16,,2041-08-30,Yes,,,Retired,29436.0,96355,No,1,,NA,1,Created
66,2011-01-01,66,Male,26,1985-09-12,1.0,Single,0,,,Yes,25.0,,Permanent contract,110.0,21773,No,0,,NA,1,Created
17191,2011-04-16,66,Male,26,1985-09-12,1.0,Married,3489,21,2032-09-05,Yes,25,,Permanent contract,110.0,21773,No,0,,NA,1,Created
17812,2011-08-20,66,Male,26,1985-09-12,1.0,Married,3489,21,2032-09-05,Yes,25,,Permanent contract,110.0,21773,No,1,,NA,1,Life event: Children born
67,2011-01-01,67,Male,60,1951-09-15,0.006840000000000001,Married,17,,2062-01-16,Yes,,,Entrepreneur with personel,19066.0,810,No,2,,NA,1,Created
68,2011-01-01,68,Female,34,1977-03-12,0.00037,Married,13,,2023-09-02,No,,,Permanent contract,24697.0,228442,Yes,2,42.0,2019-07-18,1,Created
69,2011-01-01,69,Female,31,1980-10-22,0.00029,Married,14,,2069-02-19,Yes,,,Permanent contract,14200.0,137013,Yes,2,,NA,1,Created
70,2011-01-01,70,Female,2,2009-10-26,0.00015,Single,0,,,Yes,20.0,2029-05-26,Child,0.0,0,No,0,32.0,2041-04-17,1,Created
71,2011-01-01,71,Female,15,1996-05-31,8e-05,Single,0,,,Yes,35.0,2031-12-27,Child,0.0,0,Yes,0,25.0,2021-01-08,1,Created
72,2011-01-01,72,Female,17,1994-12-03,0.0001,Single,0,,,Yes,33.0,2027-11-12,Child,0.0,0,Yes,0,33.0,2027-07-06,1,Created
18275,2011-12-03,72,Female,18,1994-12-03,0.0001,Single,0,,,No,,,Permanent contract,91443.0,828112,Yes,0,33,2027-07-06,1,Life event: Adulthood
18370,2011-12-19,72,Female,18,1994-12-03,0.0001,Married,3514,12,2023-07-03,No,,,Permanent contract,91443.0,828112,Yes,0,33,2027-07-06,1,Life event: Married
73,2011-01-01,73,Female,62,1949-06-22,0.0057399999999999994,Married,15,,2033-12-25,Yes,,,Permanent contract,7217.0,-38418,Yes,2,,NA,1,Created
74,2011-01-01,74,Male,4,2007-11-14,0.00011,Single,0,,,Yes,37.0,2044-04-12,Child,0.0,0,No,0,,NA,1,Created
75,2011-01-01,75,Female,30,1981-10-24,0.00027,Single,0,,,Yes,28.0,,Unemployed,27052.0,-21392,Yes,0,35.0,2016-03-12,1,Created
17458,2011-06-09,75,Female,30,1981-10-24,0.00027,Married,3499,18,2029-11-09,Yes,28,,Unemployed,27052.0,-21392,Yes,0,35,2016-03-12,1,Life event: Married
76,2011-01-01,76,Female,42,1969-04-05,0.001,Married,16,,2041-08-30,Yes,,,Permanent contract,34926.0,228799,No,1,,NA,1,Created
77,2011-01-01,77,Female,23,1988-03-30,0.0001,Single,0,,,No,,,Permanent contract,48555.0,428961,No,0,43.0,2031-01-05,1,Created
17464,2011-06-10,77,Female,24,1988-03-30,0.0001,Married,3500,0,2011-06-27,No,,,Permanent contract,48555.0,428961,No,0,43,2031-01-05,1,Life event: Married
17548,2011-06-27,77,Female,24,1988-03-30,0.0001,Divorced,3500,0,2011-06-27,No,,,Permanent contract,48555.0,428961,No,0,43,2031-01-05,1,Life event: Divorced
78,2011-01-01,78,Male,44,1967-04-13,0.0013599999999999999,Married,18,,2048-02-27,Yes,,,Entrepreneur without personnel,11045.0,122825,Yes,1,,NA,1,Created
79,2011-01-01,79,Female,16,1995-10-25,8e-05,Single,0,,,No,,,Child,0.0,0,Yes,0,40.0,2035-12-26,1,Created
80,2011-01-01,80,Male,30,1981-07-17,0.00055,Single,0,,,No,,,Entrepreneur without personnel,4962.0,372194,Yes,0,,NA,1,Created
17230,2011-04-25,80,Male,30,1981-07-17,0.00055,Married,3492,18,2029-05-30,No,,,Entrepreneur without personnel,4962.0,372194,Yes,0,,NA,1,Created
81,2011-01-01,81,Female,61,1950-12-04,0.00562,Widowed,0,,,Yes,,,Flexible contract,5916.0,107961,No,0,,NA,1,Created
82,2011-01-01,82,Male,101,1910-08-04,1.0,Widowed,0,,,Yes,,,Retired,26912.0,178036,No,0,,NA,1,Created
17473,2011-06-11,82,Male,101,1910-08-04,1.0,Widowed,0,,,Yes,,,Retired,26912.0,178036,No,0,,NA,0,Life event: Deceased
83,2011-01-01,83,Female,9,2002-08-10,2.9999999999999997e-05,Single,0,,,No,,,Child,0.0,0,No,0,35.0,2037-11-19,1,Created
84,2011-01-01,84,Female,40,1971-05-12,0.0006900000000000001,Married,17,,2062-01-16,Yes,,,Permanent contract,9851.0,521,No,2,,NA,1,Created
85,2011-01-01,85,Female,52,1959-06-10,0.00268,Divorced,0,,,Yes,,,Entrepreneur without personnel,24360.0,-41621,Yes,0,,NA,1,Created
86,2011-01-01,86,Male,5,2006-12-04,9e-05,Single,0,,,No,,,Child,0.0,0,No,0,,NA,1,Created
87,2011-01-01,87,Male,40,1971-08-24,0.0009400000000000001,Married,19,,2046-01-27,Yes,,,Permanent contract,27828.0,388410,Yes,2,,NA,1,Created
88,2011-01-01,88,Male,18,1993-05-17,0.00032,Single,0,,,No,,,Permanent contract,17109.0,80,Yes,0,,NA,1,Created
17319,2011-05-15,88,Male,18,1993-05-17,0.00032,Married,3494,14,2025-03-03,No,,,Permanent contract,17109.0,80,Yes,0,,NA,1,Created
89,2011-01-01,89,Female,41,1970-01-09,0.0007700000000000001,Married,18,,2048-02-27,Yes,,,Flexible contract,99999.0,13314,Yes,1,,NA,1,Created
90,2011-01-01,90,Male,59,1952-12-03,0.00717,Married,20,,2022-04-29,Yes,,,Permanent contract,33877.0,5491,No,2,,NA,1,Created
91,2011-01-01,91,Male,59,1952-12-23,0.00717,Married,21,,2067-11-06,No,,,Permanent contract,13746.0,420405,Yes,1,,NA,1,Created
92,2011-01-01,92,Female,12,1999-08-10,5e-05,Single,0,,,No,,,Child,0.0,0,Yes,0,19.0,2018-12-31,1,Created
93,2011-01-01,93,Female,12,1999-09-30,5e-05,Single,0,,,No,,,Child,0.0,0,Yes,0,27.0,2026-05-07,1,Created
94,2011-01-01,94,Female,13,1998-04-10,0.00011999999999999999,Single,0,,,Yes,32.0,2030-04-10,Child,0.0,0,Yes,0,29.0,2027-02-26,1,Created
95,2011-01-01,95,Female,34,1977-11-29,0.00037,Single,0,,,Yes,36.0,2013-08-04,Flexible contract,20908.0,38625,Yes,0,,NA,1,Created
17605,2011-07-08,95,Female,34,1977-11-29,0.00037,Married,3503,1,2012-09-16,Yes,36,2013-08-04,Flexible contract,20908.0,38625,Yes,0,,NA,1,Life event: Married
96,2011-01-01,96,Female,30,1981-01-28,0.00027,Single,0,,,No,,,Flexible contract,91209.0,76160,Yes,0,31.0,2012-12-05,1,Created
17644,2011-07-17,96,Female,31,1981-01-28,0.00027,Married,3505,2,2013-12-07,No,,,Flexible contract,91209.0,76160,Yes,0,31,2012-12-05,1,Life event: Married
97,2011-01-01,97,Female,102,1909-09-12,1.0,Widowed,0,,,No,,,Retired,4182.0,395658,No,0,,NA,1,Created
17232,2011-04-26,97,Female,102,1909-09-12,1.0,Widowed,0,,,No,,,Retired,4182.0,395658,No,0,,NA,0,Life event: Deceased
98,2011-01-01,98,Male,63,1948-12-16,0.00945,Widowed,0,,,No,,,Entrepreneur without personnel,25608.0,418133,Yes,0,,NA,1,Created
99,2011-01-01,99,Female,76,1935-07-31,0.02337,Married,19,,2046-01-27,Yes,,,Retired,38844.0,45621,Yes,2,,NA,1,Created
100,2011-01-01,100,Male,10,2001-03-27,0.00011999999999999999,Single,0,,,Yes,21.0,2022-04-28,Child,0.0,0,No,0,,NA,1,Created
101,2011-01-01,101,Female,48,1963-04-17,0.0018800000000000002,Married,20,,2022-04-29,Yes,,,Permanent contract,7308.0,8830,No,2,,NA,1,Created
102,2011-01-01,102,Female,49,1962-06-30,0.00193,Married,21,,2067-11-06,No,,,Entrepreneur with personel,47894.0,668232,Yes,1,,NA,1,Created
103,2011-01-01,103,Male,34,1977-09-30,0.00067,Single,0,,,No,,,Entrepreneur without personnel,35815.0,-42183,Yes,0,,NA,1,Created
17481,2011-06-13,103,Male,34,1977-09-30,0.00067,Married,3501,8,2019-09-22,No,,,Entrepreneur without personnel,35815.0,-42183,Yes,0,,NA,1,Created
104,2011-01-01,104,Male,64,1947-08-24,0.01097,Married,22,,2051-03-31,No,,,Flexible contract,9016.0,-10079,Yes,2,,NA,1,Created
17829,2011-08-24,104,Male,65,1947-08-24,0.01097,Married,22,,2051-03-31,No,,,Retired,6311.2,-10079,Yes,2,,NA,1,Life event: Retired
105,2011-01-01,105,Male,4,2007-04-16,0.00011,Single,0,,,No,,,Child,0.0,0,Yes,0,,NA,1,Created
106,2011-01-01,106,Female,19,1992-10-10,0.00014,Single,0,,,No,,,Permanent contract,20672.0,1793,No,0,25.0,2017-02-18,1,Created
17852,2011-08-29,106,Female,19,1992-10-10,0.00014,Married,3507,21,2032-04-21,No,,,Permanent contract,20672.0,1793,No,0,25,2017-02-18,1,Life event: Married
107,2011-01-01,107,Female,24,1987-04-01,0.00018999999999999998,Single,0,,,Yes,41.0,2028-10-31,Flexible contract,19266.0,244810,Yes,0,38.0,2025-03-22,1,Created
17884,2011-09-06,107,Female,25,1987-04-01,0.00018999999999999998,Married,3508,7,2018-01-29,Yes,41,2028-10-31,Flexible contract,19266.0,244810,Yes,0,38,2025-03-22,1,Life event: Married
108,2011-01-01,108,Female,5,2006-06-21,4e-05,Single,0,,,Yes,40.0,2046-08-07,Child,0.0,0,Yes,0,30.0,2036-12-30,1,Created
109,2011-01-01,109,Male,68,1943-07-03,0.01522,Widowed,0,,,No,,,Retired,47836.0,591,No,0,,NA,1,Created
110,2011-01-01,110,Male,67,1944-12-15,0.01396,Married,23,,2015-10-06,Yes,,,Permanent contract,4216.0,870973,Yes,2,,NA,1,Created
18331,2011-12-15,110,Male,68,1944-12-15,0.01396,Married,23,,2015-10-06,Yes,,,Retired,2951.2,870973,Yes,2,,NA,1,Life event: Retired
111,2011-01-01,111,Male,19,1992-07-24,0.00033,Single,0,,,No,,,Entrepreneur with personel,18550.0,121186,Yes,0,,NA,1,Created
17533,2011-06-22,111,Male,19,1992-07-24,0.00033,Married,3502,52,2063-08-29,No,,,Entrepreneur with personel,18550.0,121186,Yes,0,,NA,1,Created
112,2011-01-01,112,Male,25,1986-05-01,0.00033999999999999997,Single,0,,,Yes,32.0,2018-09-25,Permanent contract,19113.0,1909,Yes,0,,NA,1,Created
17610,2011-07-10,112,Male,26,1986-05-01,0.00033999999999999997,Married,3504,42,2053-08-25,Yes,32,2018-09-25,Permanent contract,19113.0,1909,Yes,0,,NA,1,Created
113,2011-01-01,113,Female,58,1953-07-26,0.00448,Married,22,,2051-03-31,No,,,Permanent contract,27144.0,255994,Yes,2,,NA,1,Created
114,2011-01-01,114,Female,43,1968-04-14,0.0009699999999999999,Married,23,,2015-10-06,No,,,Permanent contract,37790.0,985982,Yes,2,,NA,1,Created
115,2011-01-01,115,Female,12,1999-12-26,5e-05,Single,0,,,No,,,Child,0.0,0,Yes,0,32.0,2031-05-31,1,Created
116,2011-01-01,116,Female,41,1970-08-03,0.0007700000000000001,Married,24,,2038-09-13,Yes,,,Permanent contract,25621.0,570554,No,2,,NA,1,Created
117,2011-01-01,117,Female,79,1932-11-14,0.03112,Married,25,,2012-12-15,Yes,,,Retired,4125.0,288,No,1,,NA,1,Created
118,2011-01-01,118,Female,14,1997-08-15,9e-05,Single,0,,,No,,,Child,0.0,0,Yes,0,36.0,2033-04-13,1,Created
119,2011-01-01,119,Male,82,1929-03-03,0.07771,Widowed,0,,,No,,,Retired,39547.0,239151,No,0,,NA,1,Created
120,2011-01-01,120,Male,35,1976-05-08,0.00055,Single,0,,,Yes,39.0,2015-11-12,Permanent contract,88328.0,470078,No,0,,NA,1,Created
17708,2011-07-28,120,Male,36,1976-05-08,0.00055,Married,3506,4,2015-10-18,Yes,39,2015-11-12,Permanent contract,88328.0,470078,No,0,,NA,1,Created
121,2011-01-01,121,Female,52,1959-10-31,0.00268,Married,26,,2023-09-10,No,,,Permanent contract,13687.0,525932,Yes,1,,NA,1,Created
122,2011-01-01,122,Male,58,1953-12-02,0.00603,Single,0,,,Yes,27.0,,Permanent contract,6069.0,-27398,Yes,0,,NA,1,Created
17932,2011-09-15,122,Male,58,1953-12-02,0.00603,Married,3509,10,2021-07-12,Yes,27,,Permanent contract,6069.0,-27398,Yes,0,,NA,1,Created
